▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.25:3001
- Environments: .env.local
✓ Ready in 607ms

⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3001". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase
 GET /ja 200 in 123ms (next.js: 14ms, proxy.ts: 6ms, application-code: 103ms)
 GET /en/patches 200 in 1132ms (next.js: 1019ms, proxy.ts: 8ms, application-code: 105ms)
 GET /en/patches 200 in 88ms (next.js: 13ms, proxy.ts: 6ms, application-code: 69ms)
 GET /en/patches 200 in 72ms (next.js: 6ms, proxy.ts: 4ms, application-code: 62ms)
 GET /en/champions/Garen 200 in 1302ms (next.js: 1190ms, proxy.ts: 6ms, application-code: 107ms)
 GET /en/champions/Garen 200 in 92ms (next.js: 16ms, proxy.ts: 6ms, application-code: 70ms)
 GET /ja 200 in 85ms (next.js: 12ms, proxy.ts: 6ms, application-code: 68ms)
 GET /en 200 in 123ms (next.js: 7ms, proxy.ts: 5ms, application-code: 111ms)
 GET /ja/champions 200 in 967ms (next.js: 881ms, proxy.ts: 5ms, application-code: 82ms)
 GET /en/champions 200 in 69ms (next.js: 11ms, proxy.ts: 4ms, application-code: 54ms)
 GET /ja/champions/Norra 200 in 87ms (next.js: 12ms, proxy.ts: 5ms, application-code: 69ms)
 GET /en/champions/Norra 200 in 72ms (next.js: 6ms, proxy.ts: 4ms, application-code: 62ms)
 GET /ja 200 in 112ms (next.js: 15ms, proxy.ts: 7ms, application-code: 91ms)
 GET /ja 200 in 93ms (next.js: 6ms, proxy.ts: 6ms, application-code: 81ms)
 GET /ja 200 in 79ms (next.js: 7ms, proxy.ts: 6ms, application-code: 67ms)
 GET /ja 200 in 82ms (next.js: 7ms, proxy.ts: 5ms, application-code: 70ms)
 GET /ja 200 in 72ms (next.js: 6ms, proxy.ts: 8ms, application-code: 58ms)
 GET /en/patches?q=NonExistentChampionXYZ 200 in 86ms (next.js: 16ms, proxy.ts: 5ms, application-code: 66ms)
 GET /ja/patches?q=NonExistentChampionXYZ 200 in 81ms (next.js: 7ms, proxy.ts: 6ms, application-code: 68ms)
